
Gurobi 9.5.1 (win64) logging started Sat Nov 11 00:26:29 2023

Set parameter LogFile to value "consol_sol_5_time_3600_ver2.0.txt"
Set parameter TimeLimit to value 3600
Gurobi Optimizer version 9.5.1 build v9.5.1rc2 (win64)
Thread count: 4 physical cores, 8 logical processors, using up to 8 threads
Optimize a model with 135033 rows, 42970 columns and 1739974 nonzeros
Model fingerprint: 0x37fb4c7a
Variable types: 0 continuous, 42970 integer (42970 binary)
Coefficient statistics:
  Matrix range     [1e+00, 4e+01]
  Objective range  [1e+00, 3e+00]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e+00, 3e+01]
Found heuristic solution: objective -0.0000000
Presolve removed 18580 rows and 0 columns (presolve time = 7s) ...
Presolve added 0 rows and 30 columns
Presolve removed 18476 rows and 0 columns
Presolve time: 7.30s
Presolved: 116557 rows, 43000 columns, 1627270 nonzeros
Variable types: 0 continuous, 43000 integer (42940 binary)

Deterministic concurrent LP optimizer: primal and dual simplex (primal and dual model)
Showing first log only...

Root relaxation presolved: 116557 rows, 43000 columns, 1627270 nonzeros


Root simplex log...

Iteration    Objective       Primal Inf.    Dual Inf.      Time
       0   -0.0000000e+00   0.000000e+00   2.235000e+03     10s
    9980    3.8288812e-01   0.000000e+00   2.294060e+04     10s
   16100    8.0740436e+01   0.000000e+00   1.095858e+05     15s
   18551    1.1710303e+02   0.000000e+00   6.828699e+08     20s
   20728    1.7468653e+02   0.000000e+00   7.262456e+04     25s
   22188    1.7812600e+02   0.000000e+00   1.019168e+05     30s
   23423    2.1000461e+02   0.000000e+00   5.992582e+05     35s
   24577    2.2553149e+02   0.000000e+00   9.667543e+06     40s
   26000    2.3914807e+02   0.000000e+00   3.806534e+04     45s
   27295    2.4350221e+02   0.000000e+00   4.633083e+05     51s
   28434    2.4740187e+02   0.000000e+00   3.326019e+05     56s
   29359    2.4893032e+02   0.000000e+00   4.929154e+07     60s
   30448    2.4992284e+02   0.000000e+00   2.189731e+06     66s
   31395    2.5058337e+02   0.000000e+00   2.347100e+06     71s
   32219    2.5292510e+02   0.000000e+00   1.004438e+07     75s
   33157    2.5500808e+02   0.000000e+00   1.357247e+06     81s
   34312    2.6535344e+02   0.000000e+00   1.324135e+06     85s
   35250    2.6661147e+02   0.000000e+00   3.226433e+05     91s
   36256    2.6867868e+02   0.000000e+00   3.071464e+05     96s
   37060    2.6905709e+02   0.000000e+00   1.466729e+06    100s
   37864    2.6951215e+02   0.000000e+00   2.773813e+06    105s
   38805    2.7021094e+02   0.000000e+00   1.549385e+06    110s
   39743    2.7074595e+02   0.000000e+00   3.121573e+05    116s
   40547    2.7112980e+02   0.000000e+00   1.178990e+07    120s
   41351    2.7148253e+02   0.000000e+00   2.837930e+06    125s
   42155    2.7183275e+02   0.000000e+00   3.209343e+05    130s
   43093    2.7217595e+02   0.000000e+00   7.091801e+05    135s
   44031    2.7256681e+02   0.000000e+00   1.435149e+05    140s
   44835    2.7278948e+02   0.000000e+00   6.178007e+05    145s
   45639    2.7296186e+02   0.000000e+00   1.837522e+06    150s
   46443    2.7318431e+02   0.000000e+00   3.403473e+04    156s
   47247    2.7334647e+02   0.000000e+00   4.177983e+05    160s
   48051    2.7349267e+02   0.000000e+00   5.300532e+05    165s
   48989    2.7363030e+02   0.000000e+00   1.249270e+05    171s
   49793    2.7392978e+02   0.000000e+00   1.688598e+04    175s
   50597    2.7406518e+02   0.000000e+00   5.405178e+04    180s
   51401    2.7418696e+02   0.000000e+00   8.090510e+03    185s
   52205    2.7426349e+02   0.000000e+00   1.541394e+05    191s
   53009    2.7440053e+02   0.000000e+00   5.993675e+05    196s
   53813    2.7457807e+02   0.000000e+00   2.917498e+04    200s
   54617    2.7464909e+02   0.000000e+00   1.750461e+05    206s
   55421    2.7474686e+02   0.000000e+00   1.396674e+05    211s
   56091    2.7477682e+02   0.000000e+00   4.168293e+04    216s
   56895    2.7488954e+02   0.000000e+00   1.719050e+04    220s
   57565    2.7492817e+02   0.000000e+00   2.089834e+05    225s
   58369    2.7495970e+02   0.000000e+00   1.604197e+04    231s
   59173    2.7498452e+02   0.000000e+00   5.623796e+03    236s
   59843    2.7501194e+02   0.000000e+00   8.280057e+05    240s
   60647    2.7506198e+02   0.000000e+00   8.816324e+03    246s
   61545    2.7526267e+02   0.000000e+00   6.857479e+04    251s
   62349    2.7531217e+02   0.000000e+00   4.165787e+05    256s
   63019    2.7534515e+02   0.000000e+00   1.365331e+05    260s
   63823    2.7536757e+02   0.000000e+00   2.730987e+03    266s
   64493    2.7538562e+02   0.000000e+00   1.382144e+05    270s
   65297    2.7543062e+02   0.000000e+00   1.274227e+06    275s
   66101    2.7546803e+02   0.000000e+00   3.878595e+03    280s
   66905    2.7549355e+02   0.000000e+00   8.109863e+04    286s
   67709    2.7553690e+02   0.000000e+00   6.436948e+04    290s
   68484    2.7559350e+02   0.000000e+00   1.091253e+04    295s
   69154    2.7561822e+02   0.000000e+00   9.849476e+03    300s
   69958    2.7564742e+02   0.000000e+00   3.138651e+04    306s
   70773    2.7570161e+02   0.000000e+00   2.489119e+04    310s
   71577    2.7572395e+02   0.000000e+00   3.030136e+04    316s
   72381    2.7574876e+02   0.000000e+00   9.586220e+03    321s
   73185    2.7577606e+02   0.000000e+00   4.574965e+04    326s
   73989    2.7580554e+02   0.000000e+00   4.035890e+03    330s
   74793    2.7581598e+02   0.000000e+00   8.953541e+03    336s
   75463    2.7582744e+02   0.000000e+00   1.190256e+04    340s
   76267    2.7583378e+02   0.000000e+00   5.197135e+03    345s
   77071    2.7584304e+02   0.000000e+00   3.167554e+03    351s
   77875    2.7585131e+02   0.000000e+00   3.945485e+03    356s
   78679    2.7586081e+02   0.000000e+00   7.616534e+03    361s
   79483    2.7587184e+02   0.000000e+00   4.534599e+03    366s
   80153    2.7588182e+02   0.000000e+00   9.705460e+03    370s
   80957    2.7589428e+02   0.000000e+00   1.189596e+05    375s
   81761    2.7590144e+02   0.000000e+00   6.664311e+04    381s
   82565    2.7591203e+02   0.000000e+00   1.409351e+03    386s
   83235    2.7591897e+02   0.000000e+00   7.134272e+02    390s
   84039    2.7592476e+02   0.000000e+00   3.212379e+03    396s
   84709    2.7592777e+02   0.000000e+00   5.250630e+03    400s
   85513    2.7593240e+02   0.000000e+00   2.725842e+02    406s
   86183    2.7593646e+02   0.000000e+00   5.004982e+03    410s
   86853    2.7593858e+02   0.000000e+00   6.734144e+02    415s
   87662    2.7594330e+02   0.000000e+00   1.157270e+03    421s
   88332    2.7594801e+02   0.000000e+00   7.630998e+03    425s
   89136    2.7595456e+02   0.000000e+00   1.522340e+03    431s
   89806    2.7595895e+02   0.000000e+00   7.642029e+02    435s
   90610    2.7596126e+02   0.000000e+00   2.903954e+02    441s
   91280    2.7596262e+02   0.000000e+00   2.267577e+02    445s
   92084    2.7596504e+02   0.000000e+00   1.036277e+02    451s
   92754    2.7596606e+02   0.000000e+00   2.032103e+02    455s
   93558    2.7596691e+02   0.000000e+00   5.272324e+01    461s
   94228    2.7596703e+02   0.000000e+00   3.854349e+01    466s
   94817    2.7586621e+02   3.876086e+02   0.000000e+00    471s
   95425    2.7586394e+02   7.465830e+01   0.000000e+00    475s
   95680    2.7586396e+02   0.000000e+00   0.000000e+00    478s
   95680    2.7586396e+02   0.000000e+00   0.000000e+00    478s

Use crossover to convert LP symmetric solution to basic solution...

Root crossover log...

    4476 DPushes remaining with DInf 0.0000000e+00               478s
       0 DPushes remaining with DInf 0.0000000e+00               479s

    3469 PPushes remaining with PInf 0.0000000e+00               479s
     779 PPushes remaining with PInf 0.0000000e+00               480s
       0 PPushes remaining with PInf 0.0000000e+00               481s

  Push phase complete: Pinf 0.0000000e+00, Dinf 1.1480339e-11    481s


Root simplex log...

Iteration    Objective       Primal Inf.    Dual Inf.      Time
  103628    2.7586396e+02   0.000000e+00   0.000000e+00    481s
Concurrent spin time: 39.80s

Solved with primal simplex (primal model)

Root relaxation: objective 2.758640e+02, 103628 iterations, 513.23 seconds (313.64 work units)
Total elapsed time = 550.76s
Total elapsed time = 557.88s
Total elapsed time = 560.88s

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0  275.86396    0 5152   -0.00000  275.86396      -     -  561s
H    0     0                       8.0000000  275.86396  3348%     -  562s
     0     0  261.45414    0 5120    8.00000  261.45414  3168%     - 1138s
     0     0  261.45414    0 5079    8.00000  261.45414  3168%     - 1155s
     0     0  241.53146    0 3322    8.00000  241.53146  2919%     - 1453s
     0     0  241.53146    0 5564    8.00000  241.53146  2919%     - 1940s
H    0     0                      40.0000000  241.53146   504%     - 1942s
     0     0  241.53146    0 4921   40.00000  241.53146   504%     - 2061s
     0     0  241.53111    0 4812   40.00000  241.53111   504%     - 2115s
     0     0  241.53111    0 4812   40.00000  241.53111   504%     - 2120s
     0     0  237.80881    0 4573   40.00000  237.80881   495%     - 2240s
H    0     0                      53.5000000  237.80881   345%     - 2248s
     0     0  237.52400    0 4465   53.50000  237.52400   344%     - 2280s
     0     0  237.52400    0 4442   53.50000  237.52400   344%     - 2289s
     0     0  234.07123    0 4857   53.50000  234.07123   338%     - 2434s
     0     0  234.02608    0 4657   53.50000  234.02608   337%     - 2470s
     0     0  234.02608    0 4602   53.50000  234.02608   337%     - 2480s
     0     0  233.89146    0 4968   53.50000  233.89146   337%     - 2586s
H    0     0                      83.0000000  233.89146   182%     - 2594s
     0     0  233.80348    0 4857   83.00000  233.80348   182%     - 2635s
     0     0  233.65613    0 4771   83.00000  233.65613   182%     - 2645s
     0     0  233.65613    0 4765   83.00000  233.65613   182%     - 2650s
     0     0  233.63372    0 5303   83.00000  233.63372   181%     - 2722s
     0     0  233.62832    0 5379   83.00000  233.62832   181%     - 2751s
     0     0  233.62832    0 5364   83.00000  233.62832   181%     - 2820s
H    0     0                      99.0000000  233.62832   136%     - 2831s
     0     0  233.62832    0 5294   99.00000  233.62832   136%     - 2856s
     0     0  233.54989    0 5420   99.00000  233.54989   136%     - 2922s
     0     0  233.54989    0 5454   99.00000  233.54989   136%     - 2968s
     0     0  233.54989    0 5558   99.00000  233.54989   136%     - 3040s
H    0     0                     110.0000000  233.54989   112%     - 3061s
     0     0  233.51467    0 5593  110.00000  233.51467   112%     - 3088s
     0     0  233.51467    0 5555  110.00000  233.51467   112%     - 3102s
     0     0  233.51467    0 2664  110.00000  233.51467   112%     - 3557s
     0     0          -    0       110.00000  233.51467   112%     - 3600s

Cutting planes:
  Gomory: 3
  Cover: 66
  Implied bound: 52
  Clique: 2321
  MIR: 268
  StrongCG: 26
  Flow cover: 1
  GUB cover: 65
  Zero half: 327
  RLT: 425
  BQP: 41
  PSD: 19

Explored 1 nodes (820086 simplex iterations) in 3600.04 seconds (4166.51 work units)
Thread count was 8 (of 8 available processors)

Solution count 7: 110 99 83 ... -0

Time limit reached
Best objective 1.100000000000e+02, best bound 2.335000000000e+02, gap 112.2727%
