
Gurobi 9.5.1 (win64) logging started Sat Nov 11 03:26:33 2023

Set parameter LogFile to value "consol_sol_8_time_3600_ver2.0.txt"
Set parameter TimeLimit to value 3600
Gurobi Optimizer version 9.5.1 build v9.5.1rc2 (win64)
Thread count: 4 physical cores, 8 logical processors, using up to 8 threads
Optimize a model with 135033 rows, 42970 columns and 1744324 nonzeros
Model fingerprint: 0x465674c5
Variable types: 0 continuous, 42970 integer (42970 binary)
Coefficient statistics:
  Matrix range     [1e+00, 4e+01]
  Objective range  [1e+00, 3e+00]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e+00, 3e+01]
Found heuristic solution: objective -0.0000000
Presolve removed 18580 rows and 0 columns (presolve time = 7s) ...
Presolve added 0 rows and 70 columns
Presolve removed 18446 rows and 0 columns
Presolve time: 7.02s
Presolved: 116587 rows, 43040 columns, 1631700 nonzeros
Variable types: 0 continuous, 43040 integer (42980 binary)

Deterministic concurrent LP optimizer: primal and dual simplex (primal and dual model)
Showing first log only...

Root relaxation presolved: 116587 rows, 43040 columns, 1631700 nonzeros


Root simplex log...

Iteration    Objective       Primal Inf.    Dual Inf.      Time
       0   -0.0000000e+00   0.000000e+00   2.265000e+03      9s
   11312    6.8804714e-01   0.000000e+00   2.892902e+04     10s
   17116    7.9658520e+01   0.000000e+00   1.129638e+07     15s
   19666    1.0488895e+02   0.000000e+00   1.450090e+07     20s
   21349    1.5567372e+02   0.000000e+00   2.347618e+05     25s
   22620    1.5991288e+02   0.000000e+00   1.459891e+06     30s
   24044    1.8854521e+02   0.000000e+00   3.096424e+05     35s
   25271    1.9310717e+02   0.000000e+00   8.886363e+04     40s
   26209    1.9415435e+02   0.000000e+00   2.265043e+06     46s
   27474    2.4363326e+02   0.000000e+00   3.888508e+06     51s
   28655    2.4807480e+02   0.000000e+00   5.931113e+05     56s
   29623    2.5352426e+02   0.000000e+00   6.873906e+09     60s
   30711    2.6231304e+02   0.000000e+00   7.840597e+05     65s
   31793    2.6618521e+02   0.000000e+00   2.019244e+08     70s
   32761    2.6763051e+02   0.000000e+00   1.327930e+04     75s
   33766    2.6894585e+02   0.000000e+00   3.055399e+06     80s
   34853    2.7033376e+02   0.000000e+00   8.318794e+05     85s
   35791    2.7071128e+02   0.000000e+00   1.038598e+05     90s
   36921    2.7180217e+02   0.000000e+00   4.032479e+05     95s
   37859    2.7231784e+02   0.000000e+00   4.952564e+05    100s
   38931    2.7281362e+02   0.000000e+00   1.121299e+04    106s
   39735    2.7299110e+02   0.000000e+00   8.838542e+04    110s
   40673    2.7331930e+02   0.000000e+00   4.484026e+04    116s
   41518    2.7363618e+02   0.000000e+00   8.966254e+04    120s
   42456    2.7391501e+02   0.000000e+00   7.924967e+05    126s
   43260    2.7408928e+02   0.000000e+00   1.387443e+06    130s
   44064    2.7425935e+02   0.000000e+00   3.344235e+07    135s
   45002    2.7443030e+02   0.000000e+00   1.503653e+06    140s
   45940    2.7471362e+02   0.000000e+00   1.315853e+06    146s
   46880    2.7496567e+02   0.000000e+00   3.324178e+05    151s
   47684    2.7508559e+02   0.000000e+00   4.145344e+05    155s
   48622    2.7524840e+02   0.000000e+00   9.714138e+06    161s
   49438    2.7536191e+02   0.000000e+00   8.961034e+04    165s
   50376    2.7545919e+02   0.000000e+00   3.026424e+06    171s
   51180    2.7559546e+02   0.000000e+00   3.872303e+04    175s
   51984    2.7571788e+02   0.000000e+00   2.554669e+06    180s
   52951    2.7591669e+02   0.000000e+00   6.054707e+05    186s
   53755    2.7607166e+02   0.000000e+00   4.797415e+04    190s
   54693    2.7620102e+02   0.000000e+00   7.612845e+05    196s
   55497    2.7626214e+02   0.000000e+00   8.138756e+03    201s
   56301    2.7637480e+02   0.000000e+00   2.221499e+05    205s
   57105    2.7641568e+02   0.000000e+00   5.269365e+04    210s
   57909    2.7644267e+02   0.000000e+00   3.070297e+04    215s
   58713    2.7654081e+02   0.000000e+00   4.028542e+04    221s
   59561    2.7664994e+02   0.000000e+00   6.172705e+03    225s
   60395    2.7668481e+02   0.000000e+00   3.448999e+04    231s
   61199    2.7676032e+02   0.000000e+00   8.287819e+04    235s
   62026    2.7682760e+02   0.000000e+00   2.982418e+05    241s
   62830    2.7685770e+02   0.000000e+00   3.326564e+04    246s
   63500    2.7688323e+02   0.000000e+00   1.674530e+04    250s
   64170    2.7689937e+02   0.000000e+00   4.495552e+04    255s
   64974    2.7692946e+02   0.000000e+00   2.041258e+06    260s
   65644    2.7694364e+02   0.000000e+00   1.813856e+05    265s
   66448    2.7697196e+02   0.000000e+00   2.515846e+04    270s
   67252    2.7700174e+02   0.000000e+00   8.730499e+05    276s
   68056    2.7703432e+02   0.000000e+00   1.183301e+04    281s
   68860    2.7706655e+02   0.000000e+00   7.342769e+03    286s
   69530    2.7708569e+02   0.000000e+00   6.905299e+04    290s
   70200    2.7709238e+02   0.000000e+00   3.572859e+04    295s
   70870    2.7711350e+02   0.000000e+00   2.976839e+05    300s
   71696    2.7716758e+02   0.000000e+00   2.448715e+03    305s
   72523    2.7719070e+02   0.000000e+00   2.589789e+06    310s
   73342    2.7721490e+02   0.000000e+00   1.029204e+04    315s
   74146    2.7722460e+02   0.000000e+00   1.073893e+04    321s
   74816    2.7723675e+02   0.000000e+00   1.028331e+03    325s
   75622    2.7724785e+02   0.000000e+00   3.632302e+04    331s
   76292    2.7725412e+02   0.000000e+00   2.332126e+03    335s
   76962    2.7725796e+02   0.000000e+00   1.097570e+03    340s
   77766    2.7726407e+02   0.000000e+00   1.180459e+04    346s
   78570    2.7727005e+02   0.000000e+00   5.013553e+04    351s
   79240    2.7727684e+02   0.000000e+00   1.197710e+04    355s
   80044    2.7728675e+02   0.000000e+00   8.655829e+03    361s
   80848    2.7729745e+02   0.000000e+00   9.246785e+03    366s
   81543    2.7730853e+02   0.000000e+00   1.289836e+04    370s
   82373    2.7732952e+02   0.000000e+00   1.265783e+05    376s
   83177    2.7733761e+02   0.000000e+00   2.366131e+04    381s
   83981    2.7734424e+02   0.000000e+00   6.156546e+03    386s
   84651    2.7734839e+02   0.000000e+00   4.568657e+03    390s
   85455    2.7735638e+02   0.000000e+00   1.056285e+03    395s
   86259    2.7735970e+02   0.000000e+00   2.087789e+04    401s
   86929    2.7736642e+02   0.000000e+00   1.195387e+04    405s
   87733    2.7737119e+02   0.000000e+00   7.287128e+02    410s
   88403    2.7737420e+02   0.000000e+00   6.940720e+03    415s
   89207    2.7738362e+02   0.000000e+00   7.122134e+04    421s
   89877    2.7739138e+02   0.000000e+00   2.574376e+06    425s
   90681    2.7740041e+02   0.000000e+00   7.064499e+03    430s
   91485    2.7740557e+02   0.000000e+00   2.004904e+03    436s
   92289    2.7741625e+02   0.000000e+00   1.006363e+06    440s
   93122    2.7743005e+02   0.000000e+00   5.265034e+02    446s
   93792    2.7743142e+02   0.000000e+00   4.165821e+02    451s
   94434    2.7743301e+02   0.000000e+00   4.400703e+03    455s
   95078    2.7743671e+02   0.000000e+00   4.231422e+04    461s
   95586    2.7743830e+02   0.000000e+00   1.484054e+04    465s
   96104    2.7744129e+02   0.000000e+00   3.772051e+03    470s
   96758    2.7744592e+02   0.000000e+00   1.431377e+03    476s
   97410    2.7745221e+02   0.000000e+00   6.612047e+03    481s
   97942    2.7745746e+02   0.000000e+00   2.395594e+04    486s
   98460    2.7746000e+02   0.000000e+00   1.119670e+03    490s
   99016    2.7746086e+02   0.000000e+00   3.404984e+02    495s
   99805    2.7737429e+02   8.881616e+00   0.000000e+00    501s
  100515    2.7737406e+02   1.754279e-02   0.000000e+00    506s
  100521    2.7737406e+02   0.000000e+00   0.000000e+00    507s
  100521    2.7737406e+02   0.000000e+00   0.000000e+00    507s

Use crossover to convert LP symmetric solution to basic solution...

Root crossover log...

    4507 DPushes remaining with DInf 0.0000000e+00               507s
       0 DPushes remaining with DInf 0.0000000e+00               508s

    2952 PPushes remaining with PInf 0.0000000e+00               508s
       0 PPushes remaining with PInf 0.0000000e+00               510s

  Push phase complete: Pinf 0.0000000e+00, Dinf 1.2174533e-11    510s


Root simplex log...

Iteration    Objective       Primal Inf.    Dual Inf.      Time
  107983    2.7737406e+02   0.000000e+00   0.000000e+00    510s
Concurrent spin time: 48.43s

Solved with primal simplex (primal model)

Root relaxation: objective 2.773741e+02, 107983 iterations, 550.62 seconds (336.42 work units)
Total elapsed time = 594.72s
Total elapsed time = 598.61s
Total elapsed time = 603.16s
Total elapsed time = 606.61s

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0  277.37406    0 5072   -0.00000  277.37406      -     -  609s
H    0     0                      40.0000000  277.37406   593%     -  613s
     0     0  263.39948    0 5233   40.00000  263.39948   558%     - 1163s
     0     0  263.13583    0 4952   40.00000  263.13583   558%     - 1181s
     0     0  263.13583    0 4926   40.00000  263.13583   558%     - 1182s
     0     0  244.34022    0 4182   40.00000  244.34022   511%     - 1605s
H    0     0                      77.5000000  244.34022   215%     - 1613s
     0     0  244.34022    0 4145   77.50000  244.34022   215%     - 1635s
     0     0  239.99614    0 4666   77.50000  239.99614   210%     - 1831s
     0     0  239.95823    0 4536   77.50000  239.95823   210%     - 1863s
     0     0  239.95823    0 4542   77.50000  239.95823   210%     - 1873s
     0     0  235.48061    0 4691   77.50000  235.48061   204%     - 2055s
H    0     0                      85.5000000  235.48061   175%     - 2058s
     0     0  235.48061    0 4422   85.50000  235.48061   175%     - 2090s
     0     0  235.12500    0 4539   85.50000  235.12500   175%     - 2197s
     0     0  235.12500    0 4646   85.50000  235.12500   175%     - 2227s
     0     0  235.12500    0 4747   85.50000  235.12500   175%     - 2304s
H    0     0                     102.0000000  235.12500   131%     - 2323s
     0     0  235.12500    0 4906  102.00000  235.12500   131%     - 2347s
     0     0  235.12500    0 2530  102.00000  235.12500   131%     - 3014s
     0     0  235.12500    0 3147  102.00000  235.12500   131%     - 3069s
     0     0  235.12500    0 3472  102.00000  235.12500   131%     - 3600s

Cutting planes:
  Gomory: 4
  Cover: 103
  Implied bound: 324
  Clique: 5513
  MIR: 305
  StrongCG: 25
  Flow cover: 2
  GUB cover: 178
  Zero half: 416
  RLT: 540
  Relax-and-lift: 1
  BQP: 26
  PSD: 35

Explored 1 nodes (782941 simplex iterations) in 3600.05 seconds (4355.90 work units)
Thread count was 8 (of 8 available processors)

Solution count 5: 102 85.5 77.5 ... -0

Time limit reached
Best objective 1.020000000000e+02, best bound 2.350000000000e+02, gap 130.3922%
