
Gurobi 9.5.1 (win64) logging started Tue Sep 19 00:56:07 2023

Set parameter LogFile to value "consol_sol_wt_1_time_36000_ver1.0.txt"
Set parameter TimeLimit to value 36000
Gurobi Optimizer version 9.5.1 build v9.5.1rc2 (win64)
Thread count: 4 physical cores, 8 logical processors, using up to 8 threads
Optimize a model with 199781 rows, 74550 columns and 1039284 nonzeros
Model fingerprint: 0x6b59279d
Variable types: 0 continuous, 74550 integer (74550 binary)
Coefficient statistics:
  Matrix range     [1e+00, 5e+01]
  Objective range  [1e+00, 3e+00]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e+00, 8e+00]
Found heuristic solution: objective -0.0000000
Presolve removed 120020 rows and 5580 columns (presolve time = 5s) ...
Presolve removed 124820 rows and 6220 columns (presolve time = 10s) ...
Presolve removed 124780 rows and 6180 columns
Presolve time: 10.14s
Presolved: 75001 rows, 68370 columns, 897913 nonzeros
Variable types: 0 continuous, 68370 integer (68330 binary)

Deterministic concurrent LP optimizer: primal and dual simplex
Showing first log only...


Root simplex log...

Iteration    Objective       Primal Inf.    Dual Inf.      Time
       0   -0.0000000e+00   0.000000e+00   4.045000e+03     11s
   42587    5.4929878e+00   0.000000e+00   7.438249e+04     15s
   55000    3.2017459e+01   0.000000e+00   5.037479e+04     20s
   65661    1.5090788e+02   0.000000e+00   8.830411e+04     25s
   71286    2.4677766e+02   0.000000e+00   1.237091e+07     31s
   75334    2.5250176e+02   0.000000e+00   2.871933e+06     35s
   79822    2.9671395e+02   0.000000e+00   3.409481e+06     41s
   82657    3.1545291e+02   0.000000e+00   1.090192e+05     46s
   84702    3.2328230e+02   0.000000e+00   5.055279e+06     50s
   86262    3.3087603e+02   0.000000e+00   1.012880e+06     55s
   88570    3.4840616e+02   0.000000e+00   4.266730e+06     62s
   90073    3.6340269e+02   0.000000e+00   6.101757e+05     66s
   91389    3.7260350e+02   0.000000e+00   1.090667e+07     71s
   92475    3.7898983e+02   0.000000e+00   2.682385e+06     76s
   93681    3.8557361e+02   0.000000e+00   3.340694e+06     81s
   95083    3.9342914e+02   0.000000e+00   4.647462e+05     86s
   96228    3.9655698e+02   0.000000e+00   1.019650e+06     91s
   97246    3.9787256e+02   0.000000e+00   1.411769e+05     96s
   98326    4.0034788e+02   0.000000e+00   6.991626e+06    101s
   99272    4.0634577e+02   0.000000e+00   4.531087e+06    106s
  100287    4.1082974e+02   0.000000e+00   6.278123e+07    110s
  101495    4.1396617e+02   0.000000e+00   1.273234e+06    116s
  102433    4.1660336e+02   0.000000e+00   4.619322e+05    121s
  103588    4.2038792e+02   0.000000e+00   6.539994e+04    126s
  104429    4.2219569e+02   0.000000e+00   4.963464e+05    131s
  105444    4.2505778e+02   0.000000e+00   9.918350e+04    136s
  106354    4.2641420e+02   0.000000e+00   2.762312e+06    141s
  107270    4.2836650e+02   0.000000e+00   1.739694e+06    146s
  108217    4.2973230e+02   0.000000e+00   1.302870e+05    151s
  109111    4.3094324e+02   0.000000e+00   3.533645e+04    156s
  110009    4.3316307e+02   0.000000e+00   3.695046e+04    161s
  110929    4.3427551e+02   0.000000e+00   3.491843e+05    166s
  111790    4.3582167e+02   0.000000e+00   2.218342e+06    171s
  112482    4.3639570e+02   0.000000e+00   7.654248e+04    175s
  113340    4.3720499e+02   0.000000e+00   9.620524e+05    180s
  114294    4.3790958e+02   0.000000e+00   6.072368e+05    186s
  115196    4.3874574e+02   0.000000e+00   4.714862e+05    191s
  115932    4.3946971e+02   0.000000e+00   2.731643e+05    195s
  116814    4.4045102e+02   0.000000e+00   1.937138e+05    201s
  117690    4.4129929e+02   0.000000e+00   2.061073e+05    206s
  118552    4.4211359e+02   0.000000e+00   4.043027e+04    211s
  119415    4.4284719e+02   0.000000e+00   4.649681e+05    216s
  120102    4.4342351e+02   0.000000e+00   9.387843e+05    220s
  120957    4.4410691e+02   0.000000e+00   4.255465e+04    226s
  121759    4.4464185e+02   0.000000e+00   9.367974e+04    231s
  122564    4.4521944e+02   0.000000e+00   2.597601e+05    236s
  123433    4.4655772e+02   0.000000e+00   2.843521e+05    241s
  124321    4.4735573e+02   0.000000e+00   2.953196e+05    246s
  124975    4.4791306e+02   0.000000e+00   4.524737e+06    250s
  125886    4.4919636e+02   0.000000e+00   6.937547e+05    255s
  126808    4.5040827e+02   0.000000e+00   5.118732e+05    261s
  127605    4.5118867e+02   0.000000e+00   6.531120e+05    265s
  128562    4.5190441e+02   0.000000e+00   6.064925e+05    271s
  129455    4.5273769e+02   0.000000e+00   6.189067e+05    276s
  130144    4.5326264e+02   0.000000e+00   6.286322e+05    280s
  131003    4.5374218e+02   0.000000e+00   8.964623e+05    286s
  131839    4.5423547e+02   0.000000e+00   2.373085e+06    291s
  132701    4.5472927e+02   0.000000e+00   6.466181e+04    296s
  133342    4.5512500e+02   0.000000e+00   9.283637e+05    300s
  134176    4.5560258e+02   0.000000e+00   3.424803e+04    306s
  135046    4.5645510e+02   0.000000e+00   3.550993e+04    311s
  136013    4.5737986e+02   0.000000e+00   1.002155e+06    316s
  136653    4.5771280e+02   0.000000e+00   5.538092e+05    321s
